place	NOUN	place
la	DET	le
jure	VERB	jure
,	PUNCT	,
déclinant	VERB	décliner
que	SCONJ	que
pour	ADP	pour
hormis	ADP	hormis
Bradley	PROPN	Bradley
âme	NOUN	âme
jour	NOUN	jour
aucun	DET	aucun
et	CCONJ	et
un	DET	un
Troisième	ADJ	troisième
Jacques	PROPN	Jacques
que	SCONJ	que
je	PRON	je
aux	ADP	à
jure	VERB	jure
qu'	SCONJ	que
ma	DET	mon
de	ADP	de
révèle	VERB	révéler
Je	PRON	je
jour	NOUN	jour
de	ADP	de
aucun	DET	aucun
ou	CCONJ	ou
la	DET	le
raisons	NOUN	raison
qui	PRON	qui
ANNETTE	PROPN	ANNETTE
l'	PRON	l'
le	DET	le
huit	NUM	huit
di	ADP	di
s'	PRON	se
de	ADP	de
ne	ADV	ne
campement	NOUN	campement
employeur	NOUN	employeur
du	ADP	de
selon	ADP	selon
ou	CCONJ	ou
et	CCONJ	et
parjure	ADJ	parjure
partie	NOUN	partie
et	CCONJ	et
-	PUNCT	-
Sèche	ADJ	sec
,	PUNCT	,
plus	ADV	plus
je	PRON	je
:	PUNCT	:
choix	NOUN	choix
femme	NOUN	femme
renonce	VERB	renoncer
au	ADP	au
en	PRON	en
de	ADP	de
marraine	NOUN	marraine
A	ADP	à
sang	NOUN	sang
en	ADP	en
châtiment	NOUN	châtiment
les	DET	le
Libre	ADJ	libre
,	PUNCT	,
maison	NOUN	maison
fille	NOUN	fille
chaque	DET	chaque
postérité	NOUN	postérité
A	ADP	à
si	SCONJ	si
la	DET	le
on	PRON	on
agisse	VERB	agir
la	DET	le
ma	DET	mon
Pour	ADP	pour
membres	NOUN	membre
moi	PRON	moi
homme	NOUN	homme
mon	DET	mon
vent	NOUN	vent
Albin	PROPN	Albin
la	DET	le
,	PUNCT	,
donnerai	VERB	donner
putréfaction	NOUN	putréfaction
Sèche	ADJ	sec
donnerai	VERB	donner
armé	VERB	armer
en	ADP	en
de	ADP	de
étaient	AUX	être
Ils	PRON	il
je	PRON	je
.	PUNCT	.
jamais	ADV	jamais
®	PUNCT	®
A	ADP	à
Libres	ADJ	libre
chargées	VERB	charger
répugnait	VERB	répugner
oisifs	NOUN	oisif
assez	ADV	assez
ma	DET	mon
Traduction	NOUN	traduction
d'	ADP	de
ou	CCONJ	ou
je	PRON	je
ne	ADV	ne
se	PRON	se
un	DET	un
mission	NOUN	mission
,	PUNCT	,
-	NOUN	-
.	PUNCT	.
Amazones	NOUN	amazone
